plant,mm,t_mean,hdd_15,hdd_18,cdd_18,cdd_22,ah_mean,ldd
WA,10,11.453,115.65,203.3,0.375,0.0,6.855,0.0
WA,11,4.901,302.975,392.975,0.0,0.0,4.677,0.0
WA,12,2.376,391.325,484.325,0.0,0.0,3.97,0.0
MIH,01,-3.352,568.94,661.94,0.0,0.0,2.547,0.0
MIH,02,-1.503,464.76,549.36,0.0,0.0,2.732,0.0
MIH,03,3.313,362.54,455.32,0.0,0.0,3.723,0.0
MIH,04,8.108,211.28,297.02,0.26,0.0,5.12,0.18
MIH,05,14.032,70.48,137.64,14.6,2.18,7.152,5.52
MIH,06,19.76,3.68,22.24,75.04,18.72,10.286,36.3
MIH,07,22.138,0.0,0.48,126.76,26.38,12.764,87.72
MIH,08,21.22,0.225,5.575,105.35,22.45,11.911,68.3
MIH,09,18.476,8.825,31.65,45.925,5.15,9.92,21.775
MIH,10,12.255,111.225,185.025,6.9,0.1,6.59,2.875
MIH,11,5.855,276.5,364.375,0.0,0.0,4.538,0.3
MIH,12,0.424,451.85,544.85,0.0,0.0,3.354,0.0
MIL,01,-4.771,612.92,705.92,0.0,0.0,2.316,0.0
MIL,02,-2.107,481.72,566.32,0.0,0.0,2.55,0.0
MIL,03,3.71,351.92,443.04,0.04,0.0,3.625,0.02
MIL,04,9.168,189.5,268.62,3.66,0.0,5.064,1.38
MIL,05,15.088,56.36,114.76,24.48,3.4,6.944,5.38
MIL,06,21.033,1.0,9.98,100.96,32.42,9.773,35.82
MIL,07,23.034,0.0,0.24,153.82,47.14,11.888,66.56
MIL,08,21.27,0.05,7.025,108.4,26.025,11.115,51.3
MIL,09,18.486,10.55,33.25,47.85,5.575,9.326,15.0
MIL,10,11.841,125.725,199.225,8.3,0.325,6.079,1.225
MIL,11,4.985,302.925,390.6,0.15,0.0,4.175,0.2
MIL,12,-0.542,481.8,574.8,0.0,0.0,3.139,0.0
AZ,01,11.24,117.54,209.56,0.0,0.0,4.028,0.0
AZ,02,14.496,50.96,107.4,8.3,0.46,3.762,0.0
